id_track,id_marine,lat,lon,speed,course,age,date_add
1450293,103,43.0838,132.038,1,227,3,2/23/2016 0:00
1450294,133,43.0652,132.04,2,0,2,2/23/2016 0:00
1450295,150,43.0964,131.803,93,334,3,2/23/2016 0:00
1450296,1,43.0798,131.853,0,21,3,2/23/2016 0:00
1450297,2,43.0801,131.855,0,204,2,2/23/2016 0:00
1450298,136,43.0909,131.869,0,353,2,2/23/2016 0:00
1450299,128,43.093,131.872,0,280,4,2/23/2016 0:00
1450300,5,43.0948,131.874,0,359,2,2/23/2016 0:00
1450301,114,43.0977,131.871,0,258,3,2/23/2016 0:00
1450302,130,43.0993,131.87,0,293,3,2/23/2016 0:00
1450303,12,43.1011,131.873,0,309,4,2/23/2016 0:00
1450304,14,43.0618,131.883,0,0,3,2/23/2016 0:00
1450305,15,43.0803,131.884,0,282,2,2/23/2016 0:00
1450306,135,43.0863,131.884,0,50,3,2/23/2016 0:00
1450307,125,43.0927,131.88,0,181,2,2/23/2016 0:00
1450308,122,43.0927,131.88,0,234,20,2/23/2016 0:00
1450309,18,43.0934,131.88,0,93,2,2/23/2016 0:00
1450310,19,43.0936,131.88,0,312,3,2/23/2016 0:00
1450311,20,43.0939,131.881,0,318,3,2/23/2016 0:00
1450312,137,43.0963,131.883,0,218,8,2/23/2016 0:00
1450313,138,43.0977,131.882,0,41,6,2/23/2016 0:00
1450314,139,43.098,131.882,0,12,3,2/23/2016 0:00
1450315,48,43.0989,131.879,113,200,3,2/23/2016 0:00
1450316,131,43.1007,131.883,0,268,4,2/23/2016 0:00
1450317,149,43.101,131.883,0,4,7,2/23/2016 0:00
1450318,146,43.1039,131.878,0,290,3,2/23/2016 0:00
1450319,70,43.1039,131.878,0,122,3,2/23/2016 0:00
1450320,17,43.109,131.883,0,0,5,2/23/2016 0:00
1450321,26,43.062,131.887,0,202,5,2/23/2016 0:00
1450322,27,43.0621,131.887,0,111,4,2/23/2016 0:00
1450323,94,43.0622,131.887,0,0,4,2/23/2016 0:00
1450324,28,43.0623,131.887,0,21,3,2/23/2016 0:00
1450325,30,43.0626,131.888,0,0,3,2/23/2016 0:00
1450326,116,43.082,131.891,0,86,3,2/23/2016 0:00
1450327,148,43.0855,131.888,1,129,56,2/23/2016 0:00
1450328,33,43.0859,131.889,0,236,4,2/23/2016 0:00
1450329,42,43.0905,131.892,1,41,2,2/23/2016 0:00
1450330,35,43.0906,131.892,0,198,3,2/23/2016 0:00
1450331,41,43.0911,131.893,1,239,4,2/23/2016 0:00
1450332,40,43.0911,131.893,0,320,5,2/23/2016 0:00
1450333,13,43.1037,131.887,0,159,4,2/23/2016 0:00
1450334,45,43.1044,131.889,0,59,3,2/23/2016 0:00
1450335,47,43.1057,131.891,0,0,5,2/23/2016 0:00
1450336,46,43.1058,131.892,0,64,2,2/23/2016 0:00
1450337,108,43.1061,131.893,0,0,5,2/23/2016 0:00
1450338,140,43.0647,131.903,57,123,2,2/23/2016 0:00
1450339,50,43.091,131.895,0,104,3,2/23/2016 0:00
1450340,51,43.1059,131.903,0,0,3,2/23/2016 0:00
1450341,53,43.1063,131.902,0,90,4,2/23/2016 0:00
1450342,16,43.1064,131.9,0,208,2,2/23/2016 0:00
1450343,52,43.1065,131.895,0,147,3,2/23/2016 0:00
1450344,141,43.1068,131.897,0,357,4,2/23/2016 0:00
1450345,58,43.1118,131.898,0,167,4,2/23/2016 0:00
1450346,68,43.1119,131.895,0,0,4,2/23/2016 0:00
1450347,60,43.1119,131.895,0,0,3,2/23/2016 0:00
1450348,119,43.1422,131.896,0,216,7,2/23/2016 0:00
1450349,62,43.1447,131.896,0,0,5,2/23/2016 0:00
1450350,123,43.1052,131.909,0,348,7,2/23/2016 0:00
1450351,67,43.1055,131.908,1,109,4,2/23/2016 0:00
1450352,69,43.0432,131.919,0,320,3,2/23/2016 0:00
1450353,71,43.0473,131.918,1,312,3,2/23/2016 0:00
1450354,110,43.0541,131.916,0,293,3,2/23/2016 0:00
1450355,65,43.0722,131.914,0,326,2,2/23/2016 0:00
1450356,72,43.0722,131.915,0,292,2,2/23/2016 0:00
1450357,73,43.0729,131.915,0,0,5,2/23/2016 0:00
1450358,74,43.0781,131.917,0,85,3,2/23/2016 0:00
1450359,97,43.1044,131.919,0,0,3,2/23/2016 0:00
1450360,77,43.1045,131.919,0,154,200,2/23/2016 0:00
1450361,76,43.1045,131.919,0,0,2,2/23/2016 0:00
1450362,78,43.105,131.914,0,33,3,2/23/2016 0:00
1450363,79,43.105,131.915,0,278,3,2/23/2016 0:00
1450364,80,43.1051,131.915,0,278,4,2/23/2016 0:00
1450365,81,43.1052,131.914,0,287,4,2/23/2016 0:00
